districtname,const,maoistvotes,totalvotes,eligiblevoters
Rupandehi,4,13421,47658,86439
Rupandehi,5,10785,44650,72047
Rupandehi,6,3184,41070,68479
Rupandehi,7,3727,37691,60617
Salyan,1,27421,49629,78107
Salyan,2,17992,45747,81787
Sankhuwasabha,1,12948,31255,66620
Sankhuwasabha,2,8488,31562,65498
Saptari,1,7824,47251,72631
Saptari,2,4119,38640,66878
Saptari,3,5513,46243,80515
Saptari,4,2899,49018,68515
Saptari,5,6120,41446,62554
Saptari,6,2510,43958,65619
Sarlahi,1,10337,47288,81477
Sarlahi,2,2759,53510,80822
Sarlahi,3,7015,52296,81461
Sarlahi,4,879,49447,75394
Sarlahi,5,1934,51225,75123
Sarlahi,6,268,52559,77212
Sindhuli,1,11801,34549,60491
Sindhuli,2,18398,42393,76738
Sindhuli,3,14944,34648,65689
Sindhupalchok,1,21320,52904,91961
Sindhupalchok,2,30175,52014,88067
Sindhupalchok,3,14216,47035,80329
Siraha,1,3437,40985,66361
Siraha,2,3551,44000,70306
Siraha,3,2342,45549,78838
Siraha,4,1177,40992,67112
Siraha,5,12110,43390,74420
Siraha,6,8113,46850,77316
Solukhumbu,1,19095,40401,84182
Sunsari,1,18620,42385,84203
Sunsari,2,12805,51746,91056
Sunsari,3,5071,51575,72585
Sunsari,4,3561,47234,74978
Sunsari,5,370,46126,71167
Sunsari,6,10958,44941,83984
Surkhet,1,10878,43516,67913
Surkhet,2,14441,48035,76746
Surkhet,3,17429,38943,69524
Syangja,1,12733,50245,104645
Syangja,2,11824,45872,99245
Syangja,3,11136,50340,91552
Tanahu,1,17744,42516,87286
Tanahu,2,11050,44986,93380
Tanahu,3,12119,44841,86952
Taplejung,1,8407,29484,56889
Taplejung,2,7873,24861,50825
Tehrathum,1,9193,48830,90935
Udaypur,1,13236,40160,75371
Udaypur,2,13598,38198,72685
Udaypur,3,14775,35187,71972
