districtname,constnum,constname,maoist,uml,nepalicongress,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender
Ilam,2,Ilam 2,20.26,33.95,29.88,61.34,43.82,55,0,100,M
Ilam,3,Ilam 3,17.86,32.52,35.53,63.75,51.56,73,11.11,88.89,M
Jajarkot,1,Jajarkot 1,50.74,16.95,17.76,67.08,47.38,49,25,75,M
Jajarkot,2,Jajarkot 2,38.73,26.54,24.33,65.97,48.75,45,0,100,M
Jhapa,1,Jhapa 1,31.31,26.85,26.51,53.97,47.67,62,6.67,93.33,M
Jhapa,2,Jhapa 2,36.3,19,24.19,53.84,44.29,47,11.76,88.24,M
Jhapa,3,Jhapa 3,31.66,17.88,25.55,57.65,46.93,43,7.14,92.86,M
Jhapa,4,Jhapa 4,32.51,25.11,26.76,56.57,50.43,35,14.29,85.71,F
Jhapa,5,Jhapa 5,24.47,19.36,24.07,56.92,49.57,64,0,100,M
Jhapa,6,Jhapa 6,23.62,27.79,20.26,59.35,46,48,14.29,85.71,M
Jhapa,7,Jhapa 7,30.73,25.82,19.28,53.35,43.25,32,5,95,M
Jumla,1,Jumla 1,46.86,13.95,21.31,68.8,43.9,29,0,100,M
Kailali,1,Kailali 1,45.58,11.96,18.81,54.76,38.73,29,20,80,F
Kailali,2,Kailali 2,45.8,21.05,19.49,55.41,40.08,36,7.69,92.31,M
Kailali,3,Kailali 3,39.72,10.2,12.1,67.44,46.93,34,20,80,M
Kailali,4,Kailali 4,53.93,12.69,15.7,61.97,43.46,29,7.69,92.31,M
Kailali,5,Kailali 5,37.45,18.03,29.77,54.53,44.14,48,14.29,85.71,M
Kailali,6,Kailali 6,33.14,21.65,25.61,52.6,45.18,31,23.53,76.47,F
Kalikot,1,Kalikot 1,48.51,16.67,17.34,67.61,49.73,39,0,100,M
Kanchanpur,1,Kanchanpur 1,32.31,18.84,26.21,61.62,41.38,26,0,100,M
Kanchanpur,2,Kanchanpur 2,42.65,10.52,23.39,54.52,39.75,31,6.25,93.75,M
Kanchanpur,3,Kanchanpur 3,40.8,15.64,25.03,53.06,45.29,26,5.88,94.12,M
Kanchanpur,4,Kanchanpur 4,33.05,16.88,34.73,52.33,43.06,60,22.22,77.78,M
Kapilvastu,1,Kapilvastu 1,26.74,26.13,27,62.22,44.13,57,0,100,M
Kapilvastu,2,Kapilvastu 2,18.99,6.23,16.71,51.6,38.89,51,5.26,94.74,M
Kapilvastu,3,Kapilvastu 3,13.1,3.83,15.83,54.4,44.06,37,11.76,88.24,M
Kapilvastu,4,Kapilvastu 4,15.09,7.97,11.85,63.11,42.62,40,0,100,M
Kapilvastu,5,Kapilvastu 5,15.14,5.38,13.95,65.55,42.4,25,4,96,M
Kaski,1,Kaski 1,32.46,29.39,28.05,53.93,53.38,49,0,100,M
Kaski,2,Kaski 2,33.72,25.45,25.24,55.22,45.67,30,33.33,66.67,M
Kaski,3,Kaski 3,33.14,30.63,24.32,54.19,47.94,39,17.65,82.35,M
Kaski,4,Kaski 4,34.38,28.25,25.35,53.5,40.92,26,16.67,83.33,F
Kathmandu,1,Kathmandu 1,18.19,21.01,36.41,59.25,47.77,52,22.86,77.14,M
Kathmandu,2,Kathmandu 10,43.99,19.36,23.2,64.16,40.92,46,19.23,80.77,M
Kathmandu,3,Kathmandu 2,32.31,25.14,23.87,63.18,42.03,50,19.35,80.65,M
Kathmandu,4,Kathmandu 3,27.72,26.53,28.84,59.81,43.39,66,21.43,78.57,F
Kathmandu,5,Kathmandu 4,25.02,23.99,30.51,59.74,44.47,54,21.05,78.95,M
Kathmandu,6,Kathmandu 5,23.7,24.92,29.47,61.7,45.13,44,21.88,78.13,M
Kathmandu,7,Kathmandu 6,29.74,24.55,26.09,60.56,41.83,48,20,80,F
Kathmandu,8,Kathmandu 7,30.24,21.65,20.82,58.26,44.67,41,16.67,83.33,M
Kathmandu,9,Kathmandu 8,19.15,20.57,26.18,62.8,42.5,62,20.83,79.17,M
Kathmandu,10,Kathmandu 9,27.76,23.04,24.42,74.48,45.08,52,12,88,M
Kavrepalanchok,1,Kavrepalanchok 1,53.69,16.57,13.68,60.36,42.47,37,6.67,93.33,M
Kavrepalanchok,2,Kavrepalanchok 2,36.54,24.51,21.02,62,44.27,37,13.33,86.67,M
Kavrepalanchok,3,Kavrepalanchok 3,29.79,29.86,25.41,66.77,40.31,54,6.25,93.75,M
Kavrepalanchok,4,Kavrepalanchok 4,40.53,28.68,15.3,61.45,47.53,46,6.67,93.33,M
Khotang,1,Khotang 1,37.95,20.63,20.18,45.2,43.6,39,0,100,M
Khotang,2,Khotang 2,38.59,23.57,22.37,47.45,43.38,28,25,75,F
Lalitpur,1,Lalitpur 1,33.41,23.28,26.38,70.25,39.61,36,13.04,86.96,M
Lalitpur,2,Lalitpur 2,32.87,20.09,25.55,64.97,41.8,29,16,84,M
Lalitpur,3,Lalitpur 3,33.02,18.24,20.48,60.82,44.27,45,6.06,93.94,F
Lamjung,1,Lamjung 1,42.32,20.68,23.79,57.33,45.86,37,14.29,85.71,M
Lamjung,2,Lamjung 2,24.81,36.52,31.97,55.63,43,50,14.29,85.71,M
Mahottari,1,Mahottari 1,11.19,19.74,14.43,59.48,45,51,10,90,M
Mahottari,2,Mahottari 2,13.31,11.71,16.55,58.16,39.81,43,0,100,M
Mahottari,3,Mahottari 3,11.58,23.52,12.43,56.07,44.92,64,7.69,92.31,M
Mahottari,4,Mahottari 4,17.49,12.98,8.98,55.02,41.93,37,7.41,92.59,M
Mahottari,5,Mahottari 5,12.81,17.14,18.85,60.98,45.13,36,0,100,M
Mahottari,6,Mahottari 6,18.87,2.3,14.2,62.8,39.89,50,7.41,92.59,M
Makwanpur,1,Makwanpur 1,48.26,21.43,15.29,57.66,45.18,36,9.09,90.91,M
Makwanpur,2,Makwanpur 2,43.05,27.27,7.93,57.75,41.82,35,18.18,81.82,M
Makwanpur,3,Makwanpur 3,38.61,26.19,15.07,57.99,49.47,36,20,80,M
Makwanpur,4,Makwanpur 4,38.98,29.86,11.17,53.24,42.38,28,15.38,84.62,F
Manang,1,Manang 1,33.97,8.89,41.16,39.26,55,51,0,100,M
Morang,1,Morang 1,16.73,17.99,21.88,62.44,44.32,72,10.53,89.47,M
Morang,2,Morang 2,34.4,26.08,20.57,54.58,49.89,37,0,100,M
Morang,3,Morang 3,30.21,21.5,21.8,57.65,45.17,43,5.56,94.44,M
Morang,4,Morang 4,18.93,13.32,18.54,65.47,40.63,43,18.75,81.25,M
Morang,5,Morang 5,9.45,6.29,18.2,69.94,49.47,48,11.76,88.24,M
Morang,6,Morang 6,11.12,14.75,25.69,63.58,42.83,57,4.17,95.83,M
Morang,7,Morang 7,12.67,12.52,26.85,65.14,48.08,53,15.38,84.62,M
Morang,8,Morang 8,33.2,29.59,19.71,59.64,44.75,33,0,100,M
Morang,9,Morang 9,32.33,26.86,22.61,54.78,47.91,47,9.09,90.91,M
Mugu,1,Mugu 1,38.91,24.79,21.34,73.39,47.91,38,0,100,M
Mustang,1,Mustang 1,13.24,39.3,35.83,50.4,42.6,53,20,80,M
Myagdi,1,Myagdi 1,42.92,26.73,15.88,55.43,37.8,43,10,90,M
Nawalparasi,1,Nawalparasi 1,31.81,17.57,35.7,59.46,48.55,51,27.27,72.73,M
Nawalparasi,2,Nawalparasi 2,29.68,24.92,27.77,56.65,47,50,7.69,92.31,M
Nawalparasi,3,Nawalparasi 3,34.61,24.18,22.15,56.53,44.47,30,29.41,70.59,F
Nawalparasi,4,Nawalparasi 4,26.99,17.03,11.37,60.2,47.88,42,12.5,87.5,M
Nawalparasi,5,Nawalparasi 5,22.3,7.36,18,65.71,43.85,51,5,95,M
Nawalparasi,6,Nawalparasi 6,16.24,9.04,20.29,65.84,48,48,15,85,M
Nuwakot,1,Nuwakot 1,40,13.19,24.72,55.41,43.36,28,14.29,85.71,F
Nuwakot,2,Nuwakot 2,36.31,11.51,35.65,54.9,46.92,56,30.77,69.23,M
Nuwakot,3,Nuwakot 3,34.59,16.05,29.82,55.62,45.8,56,0,100,M
Okhaldhunga,1,Okhaldhunga 1,31.84,25.86,28.77,49.92,45,36,0,100,M
Okhaldhunga,2,Okhaldhunga 2,31.99,25.63,29.42,48.23,44.11,38,0,100,M
Paanchthar,1,Paanchthar 1,22.45,27.87,27.87,52.8,46.67,64,0,100,M
Paanchthar,2,Paanchthar 2,14.68,28.14,26.28,54.02,47.4,45,0,100,M
Palpa,1,Palpa 1,15.21,46.12,30.32,56.86,42.38,47,25,75,M
Palpa,2,Palpa 2,30.62,27.38,25.85,53.36,42.67,32,11.11,88.89,F
Palpa,3,Palpa 3,26.42,31.23,30.26,54.21,41.5,56,0,100,M
Parsa,1,Parsa 1,4.58,6.65,22.54,58.86,42.54,32,20.83,79.17,F
Parsa,2,Parsa 2,6.6,14.07,19.79,61.11,41.17,43,17.39,82.61,M
Parsa,3,Parsa 3,8.77,11.52,24.07,63.33,41.06,41,5.56,94.44,M
Parsa,4,Parsa 4,8.4,21.06,22.89,64.47,45.4,43,6.67,93.33,M
Parsa,5,Parsa 5,12.12,12.38,29.44,60.12,39.21,51,0,100,M
Parvat,1,Parvat 1,31.42,25.52,32.86,54.43,44.67,51,13.33,86.67,M
