districtname,constnum,constname,maovote,civdeath_gov,civdeath_mao,govtdeath,maodeath,statebased,onesided,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender,winningparty
Dhanusha,6,Dhanusha 6,29.3,0,0,0,0,0,0,55.99,41.43,53,4.76,95.24,F,CPNM
Dhanusha,7,Dhanusha 7,11.39,40.55,57.71,40.55,62.39,98.26,102.94,60.29,40.92,37,4.17,95.83,M,UML
Dolakha,1,Dolakha 1,43.54,3.59,34.66,50.2,52.59,38.25,102.79,60.89,39.75,28,31.25,68.75,F,CPNM
Dolakha,2,Dolakha 2,44.18,0,0,0,0,0,0,51.7,40.53,38,0,100,M,CPNM
Dolpa,1,Dolpa 1,58.06,22.8,22.8,9.12,41.04,45.6,50.16,76.35,42.14,41,0,100,M,CPNM
Doti,1,Doti 1,22.25,101.31,6.41,1.28,7.69,107.72,8.97,49,47.75,51,0,100,M,UML
Doti,2,Doti 2,34.66,0,0,0,0,0,0,46.38,40,29,0,100,M,CPNM
Gorkha,1,Gorkha 1,71.92,0,0,0,0,0,0,64.08,46.33,29,11.11,88.89,F,CPNM
Gorkha,2,Gorkha 2,81.93,0,0,0,0,0,0,66.25,51.6,53,20,80,M,CPNM
Gorkha,3,Gorkha 3,66.37,11.75,11.75,18.28,99.24,23.5,117.52,56.99,46.38,35,0,100,M,CPNM
Gulmi,1,Gulmi 1,39.63,0,0,0,0,0,0,48.25,46,31,22.22,77.78,M,CPNM
Gulmi,2,Gulmi 2,13.59,4.77,6.67,7.63,13.35,11.44,20.98,51.37,49.91,46,0,100,M,UML
Gulmi,3,Gulmi 3,38,0,0,0,0,0,0,52.75,42.44,33,0,100,M,CPNM
HUMLa,1,HUMLa 1,56.77,6.65,26.59,3.32,39.88,33.24,43.2,77.97,45,36,8.33,91.67,M,CPNM
Ilam,1,Ilam 1,23.45,0,0,0,0,0,0,63.84,45.17,58,8.33,91.67,M,UML
Ilam,2,Ilam 2,20.23,0,0,0,0,0,0,61.34,43.82,55,0,100,M,UML
